panneauId;imageUrl;contentImageUrl;categoryId;formeId;libelle
RS_002;assets/images/panneaux/RS_002.png;assets/images/panneaux/RS_002q.png;B1;interdiction;Sens interdit à tout véhicule
RS_003;assets/images/panneaux/RS_003.png;assets/images/panneaux/RS_003q.png;B1;interdiction_barre;Interdiction de tourner à gauche à la phochaine intersection
RS_004;assets/images/panneaux/RS_004.png;assets/images/panneaux/RS_004q.png;B1;interdiction_barre;Interdiction de tourner à droite à la phochaine intersection
RS_005;assets/images/panneaux/RS_005.png;assets/images/panneaux/RS_005q.png;B1;interdiction_barre;Interdiction de faire demi-tour sur la route suivie jusqu’à la prochaine intersection
RS_006;assets/images/panneaux/RS_006.png;assets/images/panneaux/RS_006q.png;B1;interdiction;Interdiction de dépasser tous les véhicules à moteur autres que ceux à deux roues sans side-car
RS_007;assets/images/panneaux/RS_007.png;assets/images/panneaux/RS_007q.png;B1;interdiction;Interdiction aux véhicules de transports de marchandises de doubler
RS_008;assets/images/panneaux/RS_008.png;assets/images/panneaux/RS_008q.png;B1;interdiction;Arrêt au poste de douane
RS_009;assets/images/panneaux/RS_009.png;assets/images/panneaux/RS_009q.png;B1;interdiction;Arrêt au poste de gendarmerie
RS_010;assets/images/panneaux/RS_010.png;assets/images/panneaux/RS_010q.png;B1;interdiction;Arrêt au poste de police
RS_011;assets/images/panneaux/RS_011.png;assets/images/panneaux/RS_011q.png;B1;interdiction;Arrêt au poste de péage
RS_014;assets/images/panneaux/RS_014.png;assets/images/panneaux/RS_014q.png;B1;interdiction_barre;Accès interdit aux véhicules à moteur à l’exception des cyclomoteurs
RS_015;assets/images/panneaux/RS_015.png;assets/images/panneaux/RS_015q.png;B1;interdiction_barre;Accès interdit à tous les véhicules à moteur
RS_016;assets/images/panneaux/RS_016.png;assets/images/panneaux/RS_016q.png;B1;interdiction;Accès interdit aux véhicules affectés au transport de marchandises
RS_017;assets/images/panneaux/RS_017.png;assets/images/panneaux/RS_017q.png;B1;interdiction;Accès interdit aux piétons
RS_018;assets/images/panneaux/RS_018.png;assets/images/panneaux/RS_018q.png;B1;interdiction;Accès interdit aux cycles
RS_019;assets/images/panneaux/RS_019.png;assets/images/panneaux/RS_019q.png;B1;interdiction;Accès interdit aux véhicules à traction animale
RS_020;assets/images/panneaux/RS_020.png;assets/images/panneaux/RS_020q.png;B1;interdiction;Accès interdit aux véhicules agricoles à moteur
RS_022;assets/images/panneaux/RS_022.png;assets/images/panneaux/RS_022q.png;B1;interdiction;Accès interdit aux véhicules de transport en commun de personnes
RS_023;assets/images/panneaux/RS_023.png;assets/images/panneaux/RS_023q.png;B1;interdiction;Accès interdit aux cyclomoteurs
RS_024;assets/images/panneaux/RS_024.png;assets/images/panneaux/RS_024q.png;B1;interdiction;Accès interdit aux motocyclettes et motocyclettes légères
RS_025;assets/images/panneaux/RS_025.png;assets/images/panneaux/RS_025q.png;B1;interdiction;Accès interdit aux véhicules tractant une caravane ou une remorque de plus de 250 kg
RS_026;assets/images/panneaux/RS_026.png;assets/images/panneaux/RS_026q.png;B1;interdiction;Accès interdit aux véhicules dont la longueur est supérieure au nombre indiqué
RS_027;assets/images/panneaux/RS_027.png;assets/images/panneaux/RS_027q.png;B1;interdiction;Accès interdit aux véhicules dont la largeur, chargement compris, est supérieure au nombre indiqué
RS_028;assets/images/panneaux/RS_028.png;assets/images/panneaux/RS_028q.png;B1;interdiction;Accès interdit aux véhicules dont la hauteur, chargement compris, est supérieure au nombre indiqué
RS_029;assets/images/panneaux/RS_029.png;assets/images/panneaux/RS_029q.png;B1;interdiction;Accès interdit aux véhicules dont le poids total autorisé en charge ou le poids total roulant autorisé excède le nombre indiqué
RS_030;assets/images/panneaux/RS_030.png;assets/images/panneaux/RS_030q.png;B1;interdiction;Accès interdit aux véhicules pesant sur un essieu plus que le nombre indiqué
